longname,shortnam,mort,logmort0,risk,loggdp,latitude,neoeuro,asia,africa,other,rainmin,meantemp,malaria
Angola,AGO,280,5.63478946685791,5.360000133514404,7.769999980926514,0.13670000433921814,0,0,1,0,0,26,1
Argentina,ARG,68.9000015258789,4.232656002044678,6.389999866485596,9.130000114440918,0.37779998779296875,0,0,0,0,56,17,0
Australia,AUS,8.550000190734863,2.1459312438964844,9.319999694824219,9.899999618530273,0.30000001192092896,1,0,0,1,41,17,0
Burkina Faso,BFA,280,5.63478946685791,4.449999809265137,6.849999904632568,0.1444000005722046,0,0,1,0,0,29,1
Bangladesh,BGD,71.410003662109375,4.26843786239624,5.139999866485596,6.880000114440918,0.26669999957084656,0,1,0,0,2,25,0.17861999571323395
Bolivia,BOL,71,4.2626800537109375,5.639999866485596,7.929999828338623,0.18889999389648438,0,0,0,0,8,12,0.011357000097632408
Brazil,BRA,71,4.2626800537109375,7.909999847412109,8.729999542236328,0.11110000312328339,0,0,0,0,41,25,0.03328999876976013
Canada,CAN,16.100000381469727,2.7788193225860596,9.729999542236328,9.989999771118164,0.666700005531311,1,0,0,0,56,4,0
Chile,CHL,68.9000015258789,4.232656002044678,7.820000171661377,9.34000015258789,0.33329999446868896,0,0,0,0,3,17,0
Cote d'Ivoire,CIV,668,6.504288196563721,7,7.440000057220459,0.08889999985694885,0,0,1,0,41,26,1
Cameroon,CMR,280,5.63478946685791,6.449999809265137,7.5,0.06669999659061432,0,0,1,0,23,25,1
Congo,COG,240,5.4806389808654785,4.679999828338623,7.420000076293945,0.011099999770522118,0,0,1,0,0,25,1
Colombia,COL,71,4.2626800537109375,7.320000171661377,8.8100004196167,0.04439999908208847,0,0,0,0,51,14,0.261694997549057
Costa Rica,CRI,78.0999984741211,4.357990264892578,7.050000190734863,8.789999961853027,0.11110000312328339,0,0,0,0,5,21,0
Dominican Re,DOM,130,4.867534637451172,6.179999828338623,8.359999656677246,0.2110999971628189,0,0,0,0,36,26,0
Algeria,DZA,78.19999694824219,4.359269618988037,6.5,8.390000343322754,0.3111000061035156,0,0,1,0,0,21,0
Ecuador,ECU,71,4.2626800537109375,6.550000190734863,8.470000267028809,0.022199999541044235,0,0,0,0,20,15,0.195373997092247
Egypt,EGY,67.80000305175781,4.216562271118164,6.769999980926514,7.949999809265137,0.30000001192092896,0,0,1,0,0,24,0
Ethiopia,ETH,26,3.25809645652771,5.730000019073486,6.110000133514404,0.08889999985694885,0,0,1,0,5,17,0.5806270241737366
Gabon,GAB,280,5.63478946685791,7.820000171661377,8.899999618530273,0.011099999770522118,0,0,1,0,3,27,1
Ghana,GHA,668,6.504288196563721,6.269999980926514,7.369999885559082,0.08889999985694885,0,0,1,0,15,27,1
Guinea,GIN,483,6.18001651763916,6.550000190734863,7.489999771118164,0.12219999730587006,0,0,1,0,3,27,1
Gambia,GMB,1470,7.293017864227295,8.270000457763672,7.269999980926514,0.147599995136261,0,0,1,0,0,24,1
Guatemala,GTM,71,4.2626800537109375,5.139999866485596,8.289999961853027,0.17000000178813934,0,0,0,0,3,19,0.01536799967288971
Guyana,GUY,32.18000030517578,3.4713451862335205,5.889999866485596,7.900000095367432,0.05559999868273735,0,0,0,0,76,27,0.5083630084991455
Hong Kong,HKG,14.899999618530273,2.7013611793518066,8.140000343322754,10.050000190734863,0.24609999358654022,0,1,0,0,31,21,0
Honduras,HND,78.0999984741211,4.357990264892578,5.320000171661377,7.690000057220459,0.16670000553131104,0,0,0,0,1,22,0.10000000149011612
Haiti,HTI,130,4.867534637451172,3.7300000190734863,7.150000095367432,0.2110999971628189,0,0,0,0,33,27,1
Indonesia,IDN,170,5.135798454284668,7.590000152587891,7.329999923706055,0.05559999868273735,0,1,0,0,43,28,0.451680988073349
India,IND,48.630001068115234,3.8842406272888184,8.270000457763672,7.329999923706055,0.22220000624656677,0,1,0,0,3,24,0.33260199427604675
Jamaica,JAM,130,4.867534637451172,7.090000152587891,8.1899995803833,0.20170000195503235,0,0,0,0,15,26,0
Kenya,KEN,145,4.976733684539795,6.050000190734863,7.059999942779541,0.011099999770522118,0,0,1,0,15,18,0.8448349833488464
Sri Lanka,LKA,69.80000305175781,4.245634078979492,6.050000190734863,7.730000019073486,0.07779999822378159,0,1,0,0,69,27,0.17531199753284454
Morocco,MAR,78.19999694824219,4.359269618988037,7.090000152587891,8.039999961853027,0.3555999994277954,0,0,1,0,0,24,0
Madagascar,MDG,536.03997802734375,6.28420877456665,4.449999809265137,6.840000152587891,0.22220000624656677,0,0,1,0,8,18,1
Mexico,MEX,71,4.2626800537109375,7.5,8.9399995803833,0.2556000053882599,0,0,0,0,5,16,0.04112999886274338
Mali,MLI,2940,7.9861650466918945,4,6.570000171661377,0.18889999389648438,0,0,1,0,0,29,0.9899240136146545
Malaysia,MYS,17.700000762939453,2.8735647201538086,7.949999809265137,8.890000343322754,0.025599999353289604,0,1,0,0,99,28,0.25432801246643066
Niger,NER,400,5.991464614868164,5,6.730000019073486,0.1777999997138977,0,0,1,0,0,29,0.9842290282249451
Nigeria,NGA,2004,7.602900505065918,5.550000190734863,6.809999942779541,0.11110000312328339,0,0,1,0,25,28,1
Nicaragua,NIC,163.3000030517578,5.0955891609191895,5.230000019073486,7.539999961853027,0.1444000005722046,0,0,0,0,1,27,0.10000000149011612
New Zealand,NZL,8.550000190734863,2.1459312438964844,9.729999542236328,9.760000228881836,0.45559999346733093,1,0,0,1,81,15,0
Pakistan,PAK,36.9900016784668,3.610647678375244,6.050000190734863,7.349999904632568,0.33329999446868896,0,1,0,0,12,22,0.494610995054245
Panama,PAN,163.3000030517578,5.0955891609191895,5.909999847412109,8.84000015258789,0.10000000149011612,0,0,0,0,10,27,0.03099600039422512
Peru,PER,71,4.2626800537109375,5.769999980926514,8.399999618530273,0.11110000312328339,0,0,0,0,0,22,0.029736999422311783
Paraguay,PRY,78.0999984741211,4.357990264892578,6.949999809265137,8.210000038146973,0.2556000053882599,0,0,0,0,38,22,1.720000000204891e-4
Sudan,SDN,88.19999694824219,4.479607105255127,4,7.309999942779541,0.16670000553131104,0,0,1,0,0,29,0.980239987373352
Senegal,SEN,164.66000366210938,5.103882789611816,6,7.400000095367432,0.15559999644756317,0,0,1,0,0,28,1
Singapore,SGP,17.700000762939453,2.8735647201538086,9.319999694824219,10.149999618530273,0.01360000018030405,0,1,0,0,170,28,0
Sierra Leone,SLE,483,6.18001651763916,5.820000171661377,6.25,0.09220000356435776,0,0,1,0,3,27,1
El Salvador,SLV,78.0999984741211,4.357990264892578,5,7.949999809265137,0.15000000596046448,0,0,0,0,46,24,0
Togo,TGO,668,6.504288196563721,6.909999847412109,7.21999979019165,0.08889999985694885,0,0,1,0,15,27,1
Trinidad and Tobago,TTO,85,4.442651271820068,7.449999809265137,8.770000457763672,0.12219999730587006,0,0,0,0,41,26,0
Tunisia,TUN,63,4.143134593963623,6.449999809265137,8.479999542236328,0.37779998779296875,0,0,1,0,3,24,0
Tanzania,TZA,145,4.976733684539795,6.639999866485596,6.25,0.06669999659061432,0,0,1,0,0,22,1
Uganda,UGA,280,5.63478946685791,4.449999809265137,6.96999979019165,0.011099999770522118,0,0,1,0,46,24,1
Uruguary,URY,71,4.2626800537109375,7,9.029999732971191,0.3666999936103821,0,0,0,0,66,20,0
USA,USA,15,2.70805025100708,10,10.220000267028809,0.4221999943256378,1,0,0,0,66,12,0
Venezuela,VEN,78.0999984741211,4.357990264892578,7.139999866485596,9.069999694824219,0.08889999985694885,0,0,0,0,10,20,0.002234000014141202
Vietnam,VNM,140,4.9416422843933105,6.409999847412109,7.28000020980835,0.1777999997138977,0,1,0,0,18,25,0.7154579758644104
South Africa,ZAF,15.5,2.740839958190918,6.860000133514404,8.890000343322754,0.3222000002861023,0,0,1,0,8,19,0
Zaire,ZAR,240,5.4806389808654785,3.5,6.869999885559082,0,0,0,1,0,3,25,1
